start_time,end_time
2023-10-09T08:25:45.470002Z,2023-10-09T08:39:45.209673Z
2023-10-09T08:49:51.964060Z,2023-10-09T09:02:51.884670Z
2023-10-09T09:12:58.530125Z,2023-10-09T09:26:27.536457Z
2023-10-09T09:36:34.878918Z,2023-10-09T09:50:04.653645Z
2023-10-09T10:00:11.561976Z,2023-10-09T10:13:41.660903Z
2023-10-09T10:23:48.473690Z,2023-10-09T10:37:19.814827Z
2023-10-09T10:47:24.916921Z,2023-10-09T11:01:23.896207Z
2023-10-09T11:11:31.801392Z,2023-10-09T11:25:02.365264Z
2023-10-09T11:35:08.398861Z,2023-10-09T11:48:40.414407Z
2023-10-09T11:58:44.919400Z,2023-10-09T12:12:15.119476Z
2023-10-09T12:22:21.376956Z,2023-10-09T12:35:54.036009Z
2023-10-09T12:45:57.663384Z,2023-10-09T13:00:27.348779Z
2023-10-09T13:10:34.859544Z,2023-10-09T13:23:33.156876Z
2023-10-09T13:33:41.644753Z,2023-10-09T13:46:43.965618Z
2023-10-09T13:56:47.769459Z,2023-10-09T14:10:18.168777Z
2023-10-09T14:20:24.446054Z,2023-10-09T14:33:54.507858Z
2023-10-09T14:44:01.126429Z,2023-10-09T14:57:32.316026Z
2023-10-09T15:07:37.913725Z,2023-10-09T15:21:06.222504Z
2023-10-09T15:31:14.444149Z,2023-10-09T15:44:14.951719Z
2023-10-09T15:54:21.124468Z,2023-10-09T16:07:23.626097Z
2023-10-09T16:17:27.692740Z,2023-10-09T16:30:58.833078Z
2023-10-09T16:41:04.404448Z,2023-10-09T16:54:34.746763Z
2023-10-09T17:04:41.202637Z,2023-10-09T17:18:10.134357Z
2023-10-09T17:28:18.040146Z,2023-10-09T17:41:51.164295Z
2023-10-09T17:51:54.643061Z,2023-10-09T18:05:24.517934Z
2023-10-09T18:15:31.389832Z,2023-10-09T18:29:31.162481Z
2023-10-09T18:39:37.965381Z,2023-10-09T18:53:08.695998Z
2023-10-09T19:03:14.489554Z,2023-10-09T19:16:13.441398Z
2023-10-09T19:26:21.017428Z,2023-10-09T19:40:20.244924Z
2023-10-09T19:50:27.718870Z,2023-10-09T20:03:58.269565Z
2023-10-09T20:45:09.566498Z,2023-10-09T20:58:40.913652Z
2023-10-09T21:08:46.174556Z,2023-10-09T21:22:27.068311Z
2023-10-09T21:32:37.624692Z,2023-10-09T21:45:39.578759Z
2023-10-09T21:55:43.837737Z,2023-10-09T22:09:14.030278Z
2023-10-09T22:19:20.584799Z,2023-10-09T22:33:20.838419Z
2023-10-09T22:43:27.513532Z,2023-10-09T22:56:58.854535Z
2023-10-09T23:07:04.285824Z,2023-10-09T23:26:07.651242Z
2023-10-09T23:36:13.557522Z,2023-10-09T23:49:42.129129Z
2023-10-09T23:59:50.009459Z,2023-10-10T00:13:49.865255Z
2023-10-10T00:23:56.892026Z,2023-10-10T00:37:28.458505Z
2023-10-10T00:47:33.593462Z,2023-10-10T01:01:33.444732Z
2023-10-10T01:11:40.505609Z,2023-10-10T01:25:21.475005Z
2023-10-10T01:35:32.261969Z,2023-10-10T01:49:13.375489Z
2023-10-10T01:59:24.051642Z,2023-10-10T02:12:23.466189Z
2023-10-10T02:22:30.685867Z,2023-10-10T02:35:33.141736Z
2023-10-10T02:45:37.283937Z,2023-10-10T02:59:04.912293Z
2023-10-10T03:09:14.137616Z,2023-10-10T03:22:53.773050Z
2023-10-10T03:33:06.137502Z,2023-10-10T03:47:04.748342Z
2023-10-10T03:57:12.761594Z,2023-10-10T04:17:18.223893Z
2023-10-10T04:27:22.749725Z,2023-10-10T04:41:53.336533Z
2023-10-10T04:52:00.000539Z,2023-10-10T05:05:32.904046Z
2023-10-10T05:15:36.761441Z,2023-10-10T05:30:09.162627Z
2023-10-10T05:40:14.060788Z,2023-10-10T05:53:56.831703Z
2023-10-10T06:04:05.823089Z,2023-10-10T06:17:36.137990Z
2023-10-10T06:27:42.708335Z,2023-10-10T06:41:13.822242Z
2023-10-10T06:51:19.476408Z,2023-10-10T07:05:20.111113Z
