time,pod,name,cpu_cores,memory_bytes
2023-10-09T08:25:45.472526Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:25:45.472526Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,164m,799Mi
2023-10-09T08:26:00.622245Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:26:00.622245Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,52m,735Mi
2023-10-09T08:26:15.692804Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:26:15.692804Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,53m,647Mi
2023-10-09T08:26:30.767187Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:26:30.767187Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,25m,596Mi
2023-10-09T08:26:45.912100Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:26:45.912100Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,4m,596Mi
2023-10-09T08:27:01.056009Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:27:01.056009Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,15m,597Mi
2023-10-09T08:27:16.196160Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:27:16.196160Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,107m,585Mi
2023-10-09T08:27:31.273077Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,100Mi
2023-10-09T08:27:31.273077Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,106m,585Mi
2023-10-09T08:27:46.414447Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,172m,185Mi
2023-10-09T08:27:46.414447Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,168m,578Mi
2023-10-09T08:28:01.553995Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,326Mi
2023-10-09T08:28:01.553995Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,377m,579Mi
2023-10-09T08:28:16.697473Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,326Mi
2023-10-09T08:28:16.697473Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,68m,580Mi
2023-10-09T08:28:31.806800Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,403Mi
2023-10-09T08:28:31.806800Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,68m,580Mi
2023-10-09T08:28:46.945845Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,499Mi
2023-10-09T08:28:46.945845Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,365m,581Mi
2023-10-09T08:29:02.067221Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,451Mi
2023-10-09T08:29:02.067221Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,92m,581Mi
2023-10-09T08:29:17.210916Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,523Mi
2023-10-09T08:29:17.210916Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,92m,581Mi
2023-10-09T08:29:32.313571Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,558Mi
2023-10-09T08:29:32.313571Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,622m,910Mi
2023-10-09T08:29:47.457193Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,579Mi
2023-10-09T08:29:47.457193Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,622m,910Mi
2023-10-09T08:30:02.584021Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,557Mi
2023-10-09T08:30:02.584021Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,688m,973Mi
2023-10-09T08:30:17.734103Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,191m,663Mi
2023-10-09T08:30:17.734103Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,373m,878Mi
2023-10-09T08:30:32.873068Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,191m,663Mi
2023-10-09T08:30:32.873068Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,204m,878Mi
2023-10-09T08:30:47.975480Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,685Mi
2023-10-09T08:30:47.975480Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,310m,816Mi
2023-10-09T08:31:03.069938Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,196m,727Mi
2023-10-09T08:31:03.069938Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,330m,721Mi
2023-10-09T08:31:18.189111Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,760Mi
2023-10-09T08:31:18.189111Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,305m,639Mi
2023-10-09T08:31:33.318073Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,869Mi
2023-10-09T08:31:33.318073Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,168m,622Mi
